Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006.0,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,2,eng ENG,DF,eng Premier League,19-308,2006.0,1.3,0,0,0,,0.0,0.0,,,0,0,3,eng ENG,DF,eng Premier League,19-308,2006.0,2,120,60,4.4,1.3,1,75.0,0,1,45.0,11,0.0,0,4,-4,-3.0,-2.62,2,eng ENG,DF,eng Premier League,19-308,2006.0,1.3,0,0,0,2,1,0,3,2,2,0
Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28.0,1997.0,7,1,198,2.2,1,0,1,1,0,0,0,0,0.45,15,eng ENG,FW,eng Premier League,28-166,1997.0,2.2,1,6,2,33.3,2.73,0.91,0.17,0.5,0,0,17,eng ENG,FW,eng Premier League,28-166,1997.0,7,198,28,7.3,2.2,1,90.0,1,6,18.0,0,0.71,3,4,-1,-0.45,-0.6,15,eng ENG,FW,eng Premier League,28-166,1997.0,2.2,0,0,0,1,0,0,0,0,1,0
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,2006.0,12,7,573,6.4,1,0,1,1,0,0,1,0,0.16,21,eng ENG,DF,eng Premier League,19-316,2006.0,6.4,1,3,2,66.7,0.47,0.31,0.33,0.5,0,0,24,eng ENG,DF,eng Premier League,19-316,2006.0,12,573,48,21.2,6.4,7,71.0,1,5,15.0,15,1.42,8,12,-4,-0.63,-1.56,21,eng ENG,DF,eng Premier League,19-316,2006.0,6.4,1,0,0,2,5,1,1,11,6,0
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27.0,1999.0,18,18,1411,15.7,2,1,3,2,0,0,7,0,0.19,24,us USA,MF,eng Premier League,27-031,1999.0,15.7,2,8,6,75.0,0.51,0.38,0.25,0.33,0,0,28,us USA,MF,eng Premier League,27-031,1999.0,18,1411,78,52.3,15.7,18,78.0,8,0,,1,1.28,17,24,-7,-0.45,-0.8,24,us USA,MF,eng Premier League,27-031,1999.0,15.7,7,0,0,29,12,1,1,25,19,0
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28.0,1997.0,14,7,737,8.2,0,0,0,0,0,0,2,0,0.0,26,eng ENG,DF,eng Premier League,28-174,1997.0,8.2,0,2,0,0.0,0.24,0.0,0.0,,0,0,30,eng ENG,DF,eng Premier League,28-174,1997.0,14,737,53,27.3,8.2,7,85.0,6,7,20.0,8,1.64,16,12,4,0.49,-0.15,26,eng ENG,DF,eng Premier League,28-174,1997.0,8.2,2,0,0,5,0,1,0,9,4,0
Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25.0,2000.0,26,9,968,10.8,3,1,4,3,0,0,2,0,0.37,33,ma MAR,MF,eng Premier League,25-311,2000.0,10.8,3,19,9,47.4,1.77,0.84,0.16,0.33,0,0,38,ma MAR,MF,eng Premier League,25-311,2000.0,26,968,37,35.9,10.8,9,73.0,2,17,18.0,3,1.42,16,14,2,0.19,0.39,33,ma MAR,MF,eng Premier League,25-311,2000.0,10.8,2,0,0,26,23,4,36,5,14,0
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28.0,1997.0,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.0,38,ci CIV,DF,eng Premier League,28-273,1997.0,12.2,0,10,3,30.0,0.82,0.25,0.0,0.0,0,0,44,ci CIV,DF,eng Premier League,28-273,1997.0,14,1101,79,39.5,12.2,12,85.0,11,2,38.0,4,0.14,6,27,-21,-1.72,-1.24,38,ci CIV,DF,eng Premier League,28-273,1997.0,12.2,1,1,0,10,5,1,13,14,21,0
Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,29.0,1996.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,46,ma MAR,DF,eng Premier League,29-352,1996.0,2.0,0,2,0,0.0,1.0,0.0,0.0,,0,0,53,ma MAR,DF,eng Premier League,29-352,1996.0,2,180,90,6.7,2.0,2,90.0,2,0,,0,0.0,1,8,-7,-3.5,-3.07,46,ma MAR,DF,eng Premier League,29-352,1996.0,2.0,0,0,0,0,1,0,2,1,0,0
Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,29.0,1996.0,14,14,1230,13.7,0,0,0,0,0,0,3,0,0.0,52,ng NGA,DF,eng Premier League,29-160,1996.0,13.7,0,11,1,9.1,0.8,0.07,0.0,0.0,0,0,64,ng NGA,DF,eng Premier League,29-160,1996.0,14,1230,88,45.6,13.7,14,88.0,12,0,,0,1.07,14,17,-3,-0.22,0.52,52,ng NGA,DF,eng Premier League,29-160,1996.0,13.7,3,0,0,11,10,0,33,22,15,0
Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24.0,2001.0,13,10,779,8.7,0,2,2,0,0,0,2,0,0.23,54,dz ALG,DF,eng Premier League,24-284,2001.0,8.7,0,7,1,14.3,0.81,0.12,0.0,0.0,0,0,66,dz ALG,DF,eng Premier League,24-284,2001.0,13,779,60,28.9,8.7,10,77.0,6,3,4.0,6,1.85,18,9,9,1.04,-0.04,54,dz ALG,DF,eng Premier League,24-284,2001.0,8.7,2,0,0,11,8,0,12,13,19,0
