Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,25.0,2000.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,1.0,es ESP,GK,es La Liga,25-081,2000.0,18.0,18.0,1620.0,18.0,30.0,1.67,79.0,52.0,65.8,3.0,7.0,8.0,4.0,22.2,4.0,3.0,1.0,0.0,39,es ESP,GK,es La Liga,25-081,2000.0,18.0,0,0,0,,0.0,0.0,,,0,0,45,es ESP,GK,es La Liga,25-081,2000.0,18,1620,90,64.3,18.0,18,90.0,18,0,,0,0.89,17,30,-13,-0.72,-0.82,39,es ESP,GK,es La Liga,25-081,2000.0,18.0,1,0,0,0,1,0,0,0,1,0
Nícolas Andrade,br BRA,GK,Pisa,it Serie A,37.0,1988.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,3.0,br BRA,GK,it Serie A,37-339,1988.0,5.0,5.0,450.0,5.0,9.0,1.8,19.0,10.0,52.6,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,109,br BRA,GK,it Serie A,37-339,1988.0,5.0,0,0,0,,0.0,0.0,,,0,0,139,br BRA,GK,it Serie A,37-339,1988.0,5,450,90,17.2,5.0,5,90.0,5,0,,24,0.6,4,9,-5,-1.0,-0.13,109,br BRA,GK,it Serie A,37-339,1988.0,5.0,0,0,0,0,1,0,0,0,0,0
Paul Argney,fr FRA,GK,Le Havre,fr Ligue 1,19.0,2006.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,5.0,fr FRA,GK,fr Ligue 1,19-298,2006.0,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,fr FRA,GK,fr Ligue 1,19-298,2006.0,1.0,0,0,0,,0.0,0.0,,,0,0,175,fr FRA,GK,fr Ligue 1,19-298,2006.0,1,90,90,3.8,1.0,1,90.0,1,0,,2,3.0,2,1,1,1.0,1.52,139,fr FRA,GK,fr Ligue 1,19-298,2006.0,1.0,0,0,0,0,0,0,0,0,0,0
Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23.0,2002.0,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,6.0,de GER,GK,de Bundesliga,23-296,2002.0,26.0,26.0,2340.0,26.0,43.0,1.65,117.0,75.0,63.2,9.0,7.0,10.0,5.0,19.2,1.0,0.0,1.0,0.0,163,de GER,GK,de Bundesliga,23-296,2002.0,26.0,0,0,0,,0.0,0.0,,,0,0,202,de GER,GK,de Bundesliga,23-296,2002.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,1.31,37,43,-6,-0.23,,163,de GER,GK,de Bundesliga,23-296,2002.0,26.0,0,0,0,0,3,0,0,1,0,0
Emil Audero,id IDN,GK,Cremonese,it Serie A,29.0,1997.0,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,7.0,id IDN,GK,it Serie A,29-058,1997.0,25.0,25.0,2250.0,25.0,37.0,1.48,135.0,102.0,74.8,5.0,6.0,14.0,7.0,28.0,4.0,3.0,1.0,0.0,165,id IDN,GK,it Serie A,29-058,1997.0,25.0,0,0,0,,0.0,0.0,,,0,0,204,id IDN,GK,it Serie A,29-058,1997.0,25,2250,90,86.2,25.0,25,90.0,25,0,,2,0.84,19,37,-18,-0.72,0.03,165,id IDN,GK,it Serie A,29-058,1997.0,25.0,0,0,0,0,5,0,0,0,0,0
Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21.0,2004.0,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,8.0,de GER,GK,de Bundesliga,21-335,2004.0,24.0,24.0,2160.0,24.0,43.0,1.79,110.0,71.0,64.5,5.0,7.0,12.0,4.0,16.7,4.0,4.0,0.0,0.0,177,de GER,GK,de Bundesliga,21-335,2004.0,24.0,0,0,0,,0.0,0.0,,,0,0,222,de GER,GK,de Bundesliga,21-335,2004.0,24,2160,90,92.3,24.0,24,90.0,24,0,,0,0.92,28,43,-15,-0.62,0.87,177,de GER,GK,de Bundesliga,21-335,2004.0,24.0,0,0,0,0,8,0,0,0,0,0
Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29.0,1996.0,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.0,9.0,ar ARG,GK,es La Liga,29-321,1996.0,28.0,28.0,2520.0,28.0,34.0,1.21,104.0,75.0,72.1,7.0,11.0,10.0,8.0,28.6,5.0,5.0,0.0,0.0,229,ar ARG,GK,es La Liga,29-321,1996.0,28.0,0,0,0,,0.0,0.0,,,0,0,290,ar ARG,GK,es La Liga,29-321,1996.0,28,2520,90,100.0,28.0,28,90.0,28,0,,0,1.14,28,34,-6,-0.21,,229,ar ARG,GK,es La Liga,29-321,1996.0,28.0,4,0,0,0,4,0,0,0,1,0
Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,35.0,1991.0,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.0,10.0,de GER,GK,de Bundesliga,35-064,1991.0,14.0,14.0,1260.0,14.0,18.0,1.29,67.0,50.0,74.6,5.0,6.0,3.0,3.0,21.4,1.0,1.0,0.0,0.0,232,de GER,GK,de Bundesliga,35-064,1991.0,14.0,0,0,0,,0.0,0.0,,,0,0,294,de GER,GK,de Bundesliga,35-064,1991.0,14,1260,90,53.8,14.0,14,90.0,14,0,,3,1.5,20,18,2,0.14,1.14,232,de GER,GK,de Bundesliga,35-064,1991.0,14.0,1,0,0,0,0,0,0,0,0,0
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35.0,1990.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,11.0,de GER,GK,de Bundesliga,35-288,1990.0,26.0,26.0,2340.0,26.0,34.0,1.31,106.0,76.0,71.7,15.0,5.0,6.0,6.0,23.1,5.0,4.0,0.0,1.0,234,de GER,GK,de Bundesliga,35-288,1990.0,26.0,0,0,0,,0.0,0.0,,,0,0,296,de GER,GK,de Bundesliga,35-288,1990.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,1.92,54,34,20,0.77,,234,de GER,GK,de Bundesliga,35-288,1990.0,26.0,1,0,0,0,5,0,0,0,0,0
Lucas Bergström,fi FIN,GK,Mallorca,es La Liga,23.0,2002.0,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,14.0,fi FIN,GK,es La Liga,23-193,2002.0,5.0,5.0,450.0,5.0,7.0,1.4,22.0,15.0,68.2,1.0,2.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,281,fi FIN,GK,es La Liga,23-193,2002.0,5.0,0,0,0,,0.0,0.0,,,0,0,357,fi FIN,GK,es La Liga,23-193,2002.0,5,450,90,17.9,5.0,5,90.0,5,0,,22,1.0,4,7,-3,-0.6,-0.21,281,fi FIN,GK,es La Liga,23-193,2002.0,5.0,1,0,0,0,0,0,0,0,0,0
