Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Saves/90,SoTA/90,IsPrem,Cluster,GA90_scaled,Save%_scaled,CS%_scaled,Saves/90_scaled,SoTA/90_scaled,PCA1,PCA2
Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,25.0,2000.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,1.0,es ESP,GK,es La Liga,25-081,2000.0,18.0,18.0,1620.0,18.0,30.0,1.67,79.0,52.0,65.8,3.0,7.0,8.0,4.0,22.2,4.0,3.0,1.0,0.0,39,es ESP,GK,es La Liga,25-081,2000.0,18.0,0,0,0,,0.0,0.0,,,0,0,45,es ESP,GK,es La Liga,25-081,2000.0,18,1620,90,64.3,18.0,18,90.0,18,0,,0,0.89,17,30,-13,-0.72,-0.82,39,es ESP,GK,es La Liga,25-081,2000.0,18.0,1,0,0,0,1,0,0,0,1,0,2.888888888888889,4.388888888888889,False,0,0.7620061433210894,-0.5376352418226941,-0.39736286696484274,0.14834003015568212,0.4687117909502282,1.053593481001361,-0.33605944415736844
Nícolas Andrade,br BRA,GK,Pisa,it Serie A,37.0,1988.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,3.0,br BRA,GK,it Serie A,37-339,1988.0,5.0,5.0,450.0,5.0,9.0,1.8,19.0,10.0,52.6,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,109,br BRA,GK,it Serie A,37-339,1988.0,5.0,0,0,0,,0.0,0.0,,,0,0,139,br BRA,GK,it Serie A,37-339,1988.0,5,450,90,17.2,5.0,5,90.0,5,0,,24,0.6,4,9,-5,-1.0,-0.13,109,br BRA,GK,it Serie A,37-339,1988.0,5.0,0,0,0,0,1,0,0,0,0,0,2.0,3.8,False,1,1.1070454976636237,-2.657344080550162,-2.0094709895195804,-1.4132136714196224,-0.3031723529953246,1.6863301693632837,-3.3018426146258317
Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23.0,2002.0,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,6.0,de GER,GK,de Bundesliga,23-296,2002.0,26.0,26.0,2340.0,26.0,43.0,1.65,117.0,75.0,63.2,9.0,7.0,10.0,5.0,19.2,1.0,0.0,1.0,0.0,163,de GER,GK,de Bundesliga,23-296,2002.0,26.0,0,0,0,,0.0,0.0,,,0,0,202,de GER,GK,de Bundesliga,23-296,2002.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,1.31,37,43,-6,-0.23,,163,de GER,GK,de Bundesliga,23-296,2002.0,26.0,0,0,0,0,3,0,0,1,0,0,2.8846153846153846,4.5,False,1,0.7089231657299303,-0.9551536494508309,-0.6152153159587261,0.14083256043657008,0.6143503086758035,1.3234389471872174,-0.5856370659666409
Emil Audero,id IDN,GK,Cremonese,it Serie A,29.0,1997.0,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,7.0,id IDN,GK,it Serie A,29-058,1997.0,25.0,25.0,2250.0,25.0,37.0,1.48,135.0,102.0,74.8,5.0,6.0,14.0,7.0,28.0,4.0,3.0,1.0,0.0,165,id IDN,GK,it Serie A,29-058,1997.0,25.0,0,0,0,,0.0,0.0,,,0,0,204,id IDN,GK,it Serie A,29-058,1997.0,25,2250,90,86.2,25.0,25,90.0,25,0,,2,0.84,19,37,-18,-0.72,0.03,165,id IDN,GK,it Serie A,29-058,1997.0,25.0,0,0,0,0,5,0,0,0,0,0,4.08,5.4,False,0,0.25771785620507837,0.907620784582398,0.023818534423331986,2.2408219902665905,1.7940223022529684,1.578822673283463,2.535864198276207
Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21.0,2004.0,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,8.0,de GER,GK,de Bundesliga,21-335,2004.0,24.0,24.0,2160.0,24.0,43.0,1.79,110.0,71.0,64.5,5.0,7.0,12.0,4.0,16.7,4.0,4.0,0.0,0.0,177,de GER,GK,de Bundesliga,21-335,2004.0,24.0,0,0,0,,0.0,0.0,,,0,0,222,de GER,GK,de Bundesliga,21-335,2004.0,24,2160,90,92.3,24.0,24,90.0,24,0,,0,0.92,28,43,-15,-0.62,0.87,177,de GER,GK,de Bundesliga,21-335,2004.0,24.0,0,0,0,0,8,0,0,0,0,0,2.9583333333333335,4.583333333333333,False,1,1.080504008868044,-0.7463944456367625,-0.796759023453629,0.2703364130912531,0.7235791969699851,1.653870662731337,-0.4509416266226314
Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29.0,1996.0,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.0,9.0,ar ARG,GK,es La Liga,29-321,1996.0,28.0,28.0,2520.0,28.0,34.0,1.21,104.0,75.0,72.1,7.0,11.0,10.0,8.0,28.6,5.0,5.0,0.0,0.0,229,ar ARG,GK,es La Liga,29-321,1996.0,28.0,0,0,0,,0.0,0.0,,,0,0,290,ar ARG,GK,es La Liga,29-321,1996.0,28,2520,90,100.0,28.0,28,90.0,28,0,,0,1.14,28,34,-6,-0.21,,229,ar ARG,GK,es La Liga,29-321,1996.0,28.0,4,0,0,0,4,0,0,0,1,0,2.6785714285714284,3.7142857142857144,False,0,-0.4589023412755691,0.47404397666086995,0.06738902422210878,-0.22113472959204644,-0.41552206666933983,-0.7097477398328942,0.140405959285067
Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,35.0,1991.0,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.0,10.0,de GER,GK,de Bundesliga,35-064,1991.0,14.0,14.0,1260.0,14.0,18.0,1.29,67.0,50.0,74.6,5.0,6.0,3.0,3.0,21.4,1.0,1.0,0.0,0.0,232,de GER,GK,de Bundesliga,35-064,1991.0,14.0,0,0,0,,0.0,0.0,,,0,0,294,de GER,GK,de Bundesliga,35-064,1991.0,14,1260,90,53.8,14.0,14,90.0,14,0,,3,1.5,20,18,2,0.14,1.14,232,de GER,GK,de Bundesliga,35-064,1991.0,14.0,1,0,0,0,0,0,0,0,0,0,3.5714285714285716,4.785714285714286,False,0,-0.24657043091093264,0.8755039839956178,-0.4554568533632117,1.3473901938652915,0.9888493542558556,0.8180819487329183,1.7122826888674694
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35.0,1990.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,11.0,de GER,GK,de Bundesliga,35-288,1990.0,26.0,26.0,2340.0,26.0,34.0,1.31,106.0,76.0,71.7,15.0,5.0,6.0,6.0,23.1,5.0,4.0,0.0,1.0,234,de GER,GK,de Bundesliga,35-288,1990.0,26.0,0,0,0,,0.0,0.0,,,0,0,296,de GER,GK,de Bundesliga,35-288,1990.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,1.92,54,34,20,0.77,,234,de GER,GK,de Bundesliga,35-288,1990.0,26.0,1,0,0,0,5,0,0,0,0,0,2.923076923076923,4.076923076923077,False,0,-0.19348745331977354,0.40981037548731164,-0.33200713226667755,0.20839978790857822,0.059803645028418194,0.041931691558113035,0.3969132003265502
Lucas Bergström,fi FIN,GK,Mallorca,es La Liga,23.0,2002.0,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,14.0,fi FIN,GK,es La Liga,23-193,2002.0,5.0,5.0,450.0,5.0,7.0,1.4,22.0,15.0,68.2,1.0,2.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,281,fi FIN,GK,es La Liga,23-193,2002.0,5.0,0,0,0,,0.0,0.0,,,0,0,357,fi FIN,GK,es La Liga,23-193,2002.0,5,450,90,17.9,5.0,5,90.0,5,0,,22,1.0,4,7,-3,-0.6,-0.21,281,fi FIN,GK,es La Liga,23-193,2002.0,5.0,1,0,0,0,0,0,0,0,0,0,3.0,4.4,False,0,0.0453859458404419,-0.1522336347813353,0.8952283303988657,0.34353424285259526,0.4832756427227857,0.004636519139923616,0.434882969000743
Justin Bijlow,nl NED,GK,Genoa,it Serie A,28.0,1998.0,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,15.0,nl NED,GK,it Serie A,28-054,1998.0,8.0,8.0,720.0,8.0,11.0,1.37,28.0,21.0,75.0,4.0,1.0,3.0,3.0,37.5,4.0,4.0,0.0,0.0,299,nl NED,GK,it Serie A,28-054,1998.0,8.0,0,0,0,,0.0,0.0,,,0,0,378,nl NED,GK,it Serie A,28-054,1998.0,8,720,90,27.6,8.0,8,90.0,8,0,,0,1.63,14,11,3,0.37,0.71,299,nl NED,GK,it Serie A,28-054,1998.0,8.0,0,0,0,0,1,0,0,0,0,0,2.625,3.5,False,2,-0.03423852054629618,0.9397375851691783,0.713684622903963,-0.31524622499948635,-0.6963963508543791,-1.1054834889036096,0.30371832155227646
