Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Alisson,br BRA,GK,Liverpool,eng Premier League,33.0,1992.0,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,2.0,br BRA,GK,eng Premier League,33-166,1992.0,25.0,25.0,2250.0,25.0,30.0,1.2,84.0,56.0,66.7,13.0,7.0,5.0,8.0,32.0,2.0,2.0,0.0,0.0,79,br BRA,GK,eng Premier League,33-166,1992.0,25.0,0,0,0,,0.0,0.0,,,0,0,103,br BRA,GK,eng Premier League,33-166,1992.0,25,2250,90,83.3,25.0,25,90.0,25,0,,0,1.84,43,30,13,0.52,1.32,79,br BRA,GK,eng Premier League,33-166,1992.0,25.0,1,0,0,1,7,0,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,33.0,1993.0,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.05,4.0,fr FRA,GK,eng Premier League,33-018,1993.0,20.0,20.0,1800.0,20.0,37.0,1.85,108.0,76.0,70.4,4.0,5.0,11.0,0.0,0.0,6.0,5.0,0.0,1.0,136,fr FRA,GK,eng Premier League,33-018,1993.0,20.0,0,0,0,,0.0,0.0,,,0,0,172,fr FRA,GK,eng Premier League,33-018,1993.0,20,1800,90,66.7,20.0,20,90.0,20,0,,10,0.85,25,37,-12,-0.6,0.1,136,fr FRA,GK,eng Premier League,33-018,1993.0,20.0,0,0,0,1,1,0,0,1,0,0
Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27.0,1998.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,12.0,tr TUR,GK,eng Premier League,27-337,1998.0,6.0,6.0,540.0,6.0,11.0,1.83,24.0,13.0,54.2,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,236,tr TUR,GK,eng Premier League,27-337,1998.0,6.0,0,0,0,,0.0,0.0,,,0,0,299,tr TUR,GK,eng Premier League,27-337,1998.0,6,540,90,20.0,6.0,6,90.0,6,0,,24,1.17,7,11,-4,-0.67,-1.37,236,tr TUR,GK,eng Premier League,27-337,1998.0,6.0,0,0,0,0,3,0,0,0,0,0
Walter Benítez,ar ARG,GK,Crystal Palace,eng Premier League,33.0,1993.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,13.0,ar ARG,GK,eng Premier League,33-057,1993.0,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,1.0,270,ar ARG,GK,eng Premier League,33-057,1993.0,1.0,0,0,0,,0.0,0.0,,,0,0,340,ar ARG,GK,eng Premier League,33-057,1993.0,1,90,90,3.3,1.0,1,90.0,1,0,,27,1.0,0,0,0,0.0,0.07,270,ar ARG,GK,eng Premier League,33-057,1993.0,1.0,0,0,0,0,0,0,0,0,0,0
Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,35.0,1991.0,5,4,405,4.5,0,0,0,0,0,0,2,0,0.0,16.0,nl NED,GK,eng Premier League,35-007,1991.0,5.0,4.0,405.0,4.5,8.0,1.78,20.0,13.0,65.0,2.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0,307,nl NED,GK,eng Premier League,35-007,1991.0,4.5,0,0,0,,0.0,0.0,,,0,0,387,nl NED,GK,eng Premier League,35-007,1991.0,5,405,81,15.0,4.5,4,90.0,4,1,45.0,24,1.6,7,8,-1,-0.22,-0.38,307,nl NED,GK,eng Premier League,35-007,1991.0,4.5,2,0,0,1,1,0,0,0,0,0
Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35.0,1990.0,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.0,29.0,wls WAL,GK,eng Premier League,35-160,1990.0,14.0,14.0,1260.0,14.0,19.0,1.36,51.0,34.0,66.7,3.0,5.0,6.0,2.0,14.3,2.0,2.0,0.0,0.0,603,wls WAL,GK,eng Premier League,35-160,1990.0,14.0,0,0,0,,0.0,0.0,,,0,0,759,wls WAL,GK,eng Premier League,35-160,1990.0,14,1260,90,46.7,14.0,14,90.0,14,0,,15,1.0,14,19,-5,-0.36,0.02,603,wls WAL,GK,eng Premier League,35-160,1990.0,14.0,1,0,0,0,5,0,0,0,0,0
Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,27.0,1999.0,27,27,2430,27.0,0,0,0,0,0,0,6,0,0.0,39.0,it ITA,GK,eng Premier League,27-020,1999.0,27.0,27.0,2430.0,27.0,24.0,0.89,86.0,61.0,72.1,17.0,7.0,3.0,11.0,40.7,1.0,0.0,1.0,0.0,710,it ITA,GK,eng Premier League,27-020,1999.0,27.0,0,0,0,,0.0,0.0,,,0,0,887,it ITA,GK,eng Premier League,27-020,1999.0,27,2430,90,90.0,27.0,27,90.0,27,0,,0,2.15,55,24,31,1.15,0.81,710,it ITA,GK,eng Premier League,27-020,1999.0,27.0,6,0,0,0,3,0,0,1,0,0
Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,37.0,1989.0,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,40.0,sk SVK,GK,eng Premier League,37-061,1989.0,30.0,30.0,2700.0,30.0,58.0,1.93,161.0,108.0,67.1,4.0,8.0,18.0,4.0,13.3,6.0,5.0,0.0,1.0,729,sk SVK,GK,eng Premier League,37-061,1989.0,30.0,0,0,0,,0.0,0.0,,,0,0,913,sk SVK,GK,eng Premier League,37-061,1989.0,30,2700,90,100.0,30.0,30,90.0,30,0,,0,0.67,32,58,-26,-0.87,,729,sk SVK,GK,eng Premier League,37-061,1989.0,30.0,1,0,0,0,5,0,0,0,1,0
Melker Ellborg,se SWE,GK,Sunderland,eng Premier League,22.0,2003.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,42.0,se SWE,GK,eng Premier League,22-299,2003.0,2.0,2.0,180.0,2.0,1.0,0.5,8.0,7.0,87.5,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,771,se SWE,GK,eng Premier League,22-299,2003.0,2.0,0,0,0,,0.0,0.0,,,0,0,962,se SWE,GK,eng Premier League,22-299,2003.0,2,180,90,6.7,2.0,2,90.0,2,0,,4,1.5,1,1,0,0.0,0.18,771,se SWE,GK,eng Premier League,22-299,2003.0,2.0,0,0,0,0,0,0,0,0,0,0
Angus Gunn,sct SCO,GK,Nottingham Forest,eng Premier League,30.0,1996.0,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,54.0,sct SCO,GK,eng Premier League,30-054,1996.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1040,sct SCO,GK,eng Premier League,30-054,1996.0,0.5,0,0,0,,0.0,0.0,,,0,0,1303,sct SCO,GK,eng Premier League,30-054,1996.0,1,45,45,1.7,0.5,0,,0,1,45.0,13,1.0,0,0,0,0.0,0.51,1040,sct SCO,GK,eng Premier League,30-054,1996.0,0.5,0,0,0,0,0,0,0,0,0,0
