Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,0.0,5,dz ALG,MF,fr Ligue 1,26-120,1999.0,10.5,2,11,5,45.5,1.05,0.48,0.0,0.0,2,2,7,dz ALG,MF,fr Ligue 1,26-120,1999.0,13,943,73,40.3,10.5,11,81.0,4,2,25.0,0,1.38,12,13,-1,-0.1,0.42,5,dz ALG,MF,fr Ligue 1,26-120,1999.0,10.5,1,0,0,16,12,1,9,13,17,0
Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000.0,14,9,663,7.4,0,0,0,0,0,0,3,0,0.0,7,gh GHA,MF,fr Ligue 1,25-356,2000.0,7.4,0,0,0,,0.0,0.0,,,0,0,9,gh GHA,MF,fr Ligue 1,25-356,2000.0,14,663,47,28.3,7.4,9,64.0,1,5,17.0,9,1.14,13,15,-2,-0.27,0.48,7,gh GHA,MF,fr Ligue 1,25-356,2000.0,7.4,3,0,0,14,7,0,1,9,7,0
Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999.0,19,9,918,10.2,1,2,3,1,0,0,2,0,0.29,8,sa KSA,MF,fr Ligue 1,26-242,1999.0,10.2,1,5,2,40.0,0.49,0.2,0.2,0.5,0,0,10,sa KSA,MF,fr Ligue 1,26-242,1999.0,19,918,48,39.2,10.2,9,85.0,5,10,16.0,6,1.84,20,11,9,0.88,-0.19,8,sa KSA,MF,fr Ligue 1,26-242,1999.0,10.2,2,0,0,17,9,1,30,5,19,0
Tay Abed,il ISR,MF,Levante,es La Liga,22.0,2004.0,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,9,il ISR,MF,es La Liga,22-009,2004.0,0.3,0,0,0,,0.0,0.0,,,0,0,11,il ISR,MF,es La Liga,22-009,2004.0,2,23,12,0.9,0.3,0,,0,2,12.0,6,0.5,0,1,-1,-3.91,-3.37,9,il ISR,MF,es La Liga,22-009,2004.0,0.3,0,0,0,0,1,0,1,1,1,0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993.0,23,23,1982,22.0,1,0,1,1,0,0,6,0,0.05,10,fr FRA,MF,fr Ligue 1,33-044,1993.0,22.0,1,20,5,25.0,0.91,0.23,0.05,0.2,0,0,12,fr FRA,MF,fr Ligue 1,33-044,1993.0,23,1982,86,84.7,22.0,23,86.0,17,0,,0,1.39,32,36,-4,-0.18,-0.43,10,fr FRA,MF,fr Ligue 1,33-044,1993.0,22.0,6,0,0,23,23,0,9,25,22,0
Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26.0,2000.0,15,6,511,5.7,0,0,0,0,0,0,4,0,0.0,13,ma MAR,MF,it Serie A,26-027,2000.0,5.7,0,7,2,28.6,1.23,0.35,0.0,0.0,0,0,15,ma MAR,MF,it Serie A,26-027,2000.0,15,511,34,19.6,5.7,6,59.0,0,9,18.0,5,0.53,2,11,-9,-1.59,-1.2,13,ma MAR,MF,it Serie A,26-027,2000.0,5.7,4,0,0,12,11,7,18,1,12,0
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27.0,1999.0,16,12,1003,11.1,0,2,2,0,0,0,7,1,0.18,14,ma MAR,DF,es La Liga,27-007,1999.0,11.1,0,7,1,14.3,0.63,0.09,0.0,0.0,0,0,16,ma MAR,DF,es La Liga,27-007,1999.0,16,1003,63,39.8,11.1,12,74.0,5,4,30.0,0,1.25,13,12,1,0.09,0.56,14,ma MAR,DF,es La Liga,27-007,1999.0,11.1,7,1,0,22,28,1,1,15,15,0
Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24.0,2001.0,8,7,526,5.8,0,0,0,0,0,0,2,0,0.0,16,gh GHA,MF,fr Ligue 1,24-324,2001.0,5.8,0,6,0,0.0,1.03,0.0,0.0,,0,0,19,gh GHA,MF,fr Ligue 1,24-324,2001.0,8,526,66,22.5,5.8,7,69.0,1,1,45.0,1,1.13,10,7,3,0.51,0.41,16,gh GHA,MF,fr Ligue 1,24-324,2001.0,5.8,2,0,0,5,4,0,0,8,12,0
Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,21.0,2004.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,18,mg MAD,DF,fr Ligue 1,21-093,2004.0,0.1,0,0,0,,0.0,0.0,,,0,0,21,mg MAD,DF,fr Ligue 1,21-093,2004.0,1,13,13,0.6,0.1,0,,0,1,13.0,1,0.0,0,1,-1,-6.92,-6.16,18,mg MAD,DF,fr Ligue 1,21-093,2004.0,0.1,0,0,0,0,0,0,1,0,0,0
Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1988.0,13,11,973,10.8,0,1,1,0,0,0,2,0,0.09,19,it ITA,DF,it Serie A,38-035,1988.0,10.8,0,3,1,33.3,0.28,0.09,0.0,0.0,0,0,22,it ITA,DF,it Serie A,38-035,1988.0,13,973,75,37.3,10.8,11,87.0,8,2,10.0,14,2.08,21,11,10,0.92,-0.83,19,it ITA,DF,it Serie A,38-035,1988.0,10.8,2,0,0,11,10,2,1,15,8,0
