Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Gls/90,Ast/90,Crs/90,Int/90,TklW/90,Fls/90,Fld/90,IsPrem,Cluster,Gls/90_scaled,Ast/90_scaled,Sh/90_scaled,SoT/90_scaled,Crs/90_scaled,Int/90_scaled,TklW/90_scaled,Fls/90_scaled,Fld/90_scaled,PCA1,PCA2
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,0.0,5,dz ALG,MF,fr Ligue 1,26-120,1999.0,10.5,2,11,5,45.5,1.0476190476190477,0.47619047619047616,0.0,0.0,2,2,7,dz ALG,MF,fr Ligue 1,26-120,1999.0,13,943,73,40.3,10.5,11,81.0,4,2,25.0,0,1.38,12,13,-1,-0.1,0.42,5,dz ALG,MF,fr Ligue 1,26-120,1999.0,10.5,1,0,0,16,12,1,9,13,17,0,0.19047619047619047,0.0,0.8571428571428571,1.2380952380952381,1.619047619047619,1.5238095238095237,1.1428571428571428,False,4,0.3600790727701255,-0.7621682875409468,-0.15469229825816114,0.17624763262864493,-0.3090214768006015,0.7479497368141894,1.3387323889431226,0.4583224858665697,0.042755540687793886,-0.6178078353785492,0.33598642325605527
Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000.0,14,9,663,7.4,0,0,0,0,0,0,3,0,0.0,7,gh GHA,MF,fr Ligue 1,25-356,2000.0,7.4,0,0,0,,0.0,0.0,,,0,0,9,gh GHA,MF,fr Ligue 1,25-356,2000.0,14,663,47,28.3,7.4,9,64.0,1,5,17.0,9,1.14,13,15,-2,-0.27,0.48,7,gh GHA,MF,fr Ligue 1,25-356,2000.0,7.4,3,0,0,14,7,0,1,9,7,0,0.0,0.0,0.13513513513513511,1.2162162162162162,0.9459459459459459,1.8918918918918919,0.9459459459459459,False,4,-0.7345208390382241,-0.7621682875409468,-1.276102064914131,-0.9690071404065893,-0.7300060362777866,0.7034646975713514,-0.0469531873606353,1.1244078233368744,-0.24261211758179851,-1.9075650687944852,-0.23323498034944892
Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999.0,19,9,918,10.2,1,2,3,1,0,0,2,0,0.29,8,sa KSA,MF,fr Ligue 1,26-242,1999.0,10.2,1,5,2,40.0,0.4901960784313726,0.19607843137254904,0.2,0.5,0,0,10,sa KSA,MF,fr Ligue 1,26-242,1999.0,19,918,48,39.2,10.2,9,85.0,5,10,16.0,6,1.84,20,11,9,0.88,-0.19,8,sa KSA,MF,fr Ligue 1,26-242,1999.0,10.2,2,0,0,17,9,1,30,5,19,0,0.09803921568627452,0.19607843137254904,2.9411764705882355,0.4901960784313726,1.8627450980392157,1.6666666666666667,0.8823529411764707,False,4,-0.1711238256074558,1.0321144853750275,-0.7513782436178884,-0.4974316456273751,0.9061261538262155,-0.7726997534280096,1.8404219480615343,0.716838123835814,-0.334772376307849,-0.5842905049434135,1.9083967640919548
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993.0,23,23,1982,22.0,1,0,1,1,0,0,6,0,0.05,10,fr FRA,MF,fr Ligue 1,33-044,1993.0,22.0,1,20,5,25.0,0.9090909090909091,0.22727272727272727,0.05,0.2,0,0,12,fr FRA,MF,fr Ligue 1,33-044,1993.0,23,1982,86,84.7,22.0,23,86.0,17,0,,0,1.39,32,36,-4,-0.18,-0.43,10,fr FRA,MF,fr Ligue 1,33-044,1993.0,22.0,6,0,0,23,23,0,9,25,22,0,0.045454545454545456,0.0,0.4090909090909091,1.1363636363636365,1.0,1.0454545454545454,1.0454545454545454,False,1,-0.4733094964475952,-0.7621682875409468,-0.30297788723746305,-0.42240827145795473,-0.5702693086783976,0.5411061987305128,0.06432557784922671,-0.4073132109698384,-0.09840225818887617,-1.0625778668011787,-0.6186874759235809
Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26.0,2000.0,15,6,511,5.7,0,0,0,0,0,0,4,0,0.0,13,ma MAR,MF,it Serie A,26-027,2000.0,5.7,0,7,2,28.6,1.2280701754385965,0.3508771929824561,0.0,0.0,0,0,15,ma MAR,MF,it Serie A,26-027,2000.0,15,511,34,19.6,5.7,6,59.0,0,9,18.0,5,0.53,2,11,-9,-1.59,-1.2,13,ma MAR,MF,it Serie A,26-027,2000.0,5.7,4,0,0,12,11,7,18,1,12,0,0.0,0.0,3.1578947368421053,0.17543859649122806,2.1052631578947367,2.1052631578947367,1.9298245614035088,False,4,-0.7345208390382241,-0.7621682875409468,0.038469192649087255,-0.12513520238062723,1.03248912899751,-1.41267346950668,2.339683487535089,1.5105264860220893,1.1832445168749717,-0.21115878512952946,2.386693435945074
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27.0,1999.0,16,12,1003,11.1,0,2,2,0,0,0,7,1,0.18,14,ma MAR,DF,es La Liga,27-007,1999.0,11.1,0,7,1,14.3,0.6306306306306306,0.0900900900900901,0.0,0.0,0,0,16,ma MAR,DF,es La Liga,27-007,1999.0,16,1003,63,39.8,11.1,12,74.0,5,4,30.0,0,1.25,13,12,1,0.09,0.56,14,ma MAR,DF,es La Liga,27-007,1999.0,11.1,7,1,0,22,28,1,1,15,15,0,0.0,0.1801801801801802,0.0900900900900901,1.3513513513513513,1.3513513513513513,1.981981981981982,2.5225225225225225,False,4,-0.7345208390382241,0.8866320983818403,-0.601051959678965,-0.7523373184810044,-0.7562706701132617,0.9782252340712324,0.7876375517133297,1.2874357031372985,2.0421942966682067,-0.860701610162116,1.7738327712821675
Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24.0,2001.0,8,7,526,5.8,0,0,0,0,0,0,2,0,0.0,16,gh GHA,MF,fr Ligue 1,24-324,2001.0,5.8,0,6,0,0.0,1.0344827586206897,0.0,0.0,,0,0,19,gh GHA,MF,fr Ligue 1,24-324,2001.0,8,526,66,22.5,5.8,7,69.0,1,1,45.0,1,1.13,10,7,3,0.51,0.41,16,gh GHA,MF,fr Ligue 1,24-324,2001.0,5.8,2,0,0,5,4,0,0,8,12,0,0.0,0.0,0.0,1.3793103448275863,2.0689655172413794,0.8620689655172414,0.6896551724137931,False,4,-0.7345208390382241,-0.7621682875409468,-0.1687538627303363,-0.9690071404065893,-0.8087999377842117,1.0350722416229323,2.2649590898442566,-0.739169492312802,-0.6140338499475628,-2.28273835409711,0.13681509010640888
Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1988.0,13,11,973,10.8,0,1,1,0,0,0,2,0,0.09,19,it ITA,DF,it Serie A,38-035,1988.0,10.8,0,3,1,33.3,0.27777777777777773,0.09259259259259259,0.0,0.0,0,0,22,it ITA,DF,it Serie A,38-035,1988.0,13,973,75,37.3,10.8,11,87.0,8,2,10.0,14,2.08,21,11,10,0.92,-0.83,19,it ITA,DF,it Serie A,38-035,1988.0,10.8,2,0,0,11,10,2,1,15,8,0,0.0,0.09259259259259259,0.09259259259259259,1.3888888888888888,0.7407407407407407,1.0185185185185184,0.9259259259259258,False,1,-0.7345208390382241,0.08513191078048532,-0.9787585661795937,-0.7463187123164048,-0.7548115237890686,1.0545476053211993,-0.46940035158325966,-0.45605690028390483,-0.27162553236592574,-1.5655964799063666,-0.634962338811222
Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998.0,25,14,1436,16.0,5,3,8,5,0,0,2,0,0.5,20,de GER,FW,de Bundesliga,27-232,1998.0,16.0,5,43,16,37.2,2.6875,1.0,0.12,0.31,0,0,23,de GER,FW,de Bundesliga,27-232,1998.0,25,1436,57,61.4,16.0,14,80.0,3,11,29.0,0,0.96,22,32,-10,-0.63,-0.73,20,de GER,FW,de Bundesliga,27-232,1998.0,16.0,2,0,0,14,26,9,1,3,7,0,0.3125,0.1875,0.0625,0.1875,0.4375,0.875,1.625,False,2,1.0613071412723496,0.9536146140599534,1.6006962853425188,1.436027882967403,-0.7723577583374901,-1.3881498865339932,-1.0936690726158997,-0.7157693699104137,0.7414866451273109,3.0390388259475904,-0.8823034061128325
Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,2000.0,23,16,1519,16.9,7,3,10,5,2,2,1,0,0.47,22,ng NGA,FW,es La Liga,26-047,2000.0,16.9,7,50,26,52.0,2.958579881656805,1.5384615384615385,0.1,0.19,2,2,26,ng NGA,FW,es La Liga,26-047,2000.0,23,1519,66,60.3,16.9,16,84.0,11,7,25.0,0,1.17,25,30,-5,-0.3,0.15,22,ng NGA,FW,es La Liga,26-047,2000.0,16.9,1,0,0,23,8,35,13,0,2,0,0.4142011834319527,0.1775147928994083,0.7692307692307693,0.0,0.1183431952662722,1.3609467455621302,0.4733727810650888,False,2,1.6457481999533057,0.8622415601285447,1.8908701109566826,2.731046741707245,-0.3602808061322538,-1.7693801309275783,-1.7507035126891437,0.16360446072609053,-0.9274746319461704,4.078828155558629,-1.5731987880706928
